Wavelength	Smoothed_Intensity
1004.000000	0.000002
1005.000000	0.000002
1006.000000	0.000003
1007.000000	0.000003
1008.000000	0.000004
1009.000000	0.000005
1010.000000	0.000005
1011.000000	0.000006
1012.000000	0.000007
1013.000000	0.000008
1014.000000	0.000008
1015.000000	0.000009
1016.000000	0.000010
1017.000000	0.000011
1018.000000	0.000012
1019.000000	0.000013
1020.000000	0.000013
1021.000000	0.000015
1022.000000	0.000016
1023.000000	0.000018
1024.000000	0.000019
1025.000000	0.000021
1026.000000	0.000024
1027.000000	0.000026
1028.000000	0.000028
1029.000000	0.000031
1030.000000	0.000033
1031.000000	0.000035
1032.000000	0.000039
1033.000000	0.000039
1034.000000	0.000039
1035.000000	0.000040
1036.000000	0.000041
1037.000000	0.000041
1038.000000	0.000041
1039.000000	0.000042
1040.000000	0.000043
1041.000000	0.000044
1042.000000	0.000045
1043.000000	0.000047
1044.000000	0.000048
1045.000000	0.000052
1046.000000	0.000052
1047.000000	0.000056
1048.000000	0.000059
1049.000000	0.000061
1050.000000	0.000063
1051.000000	0.000067
1052.000000	0.000071
1053.000000	0.000072
1054.000000	0.000075
1055.000000	0.000078
1056.000000	0.000081
1057.000000	0.000085
1058.000000	0.000088
1059.000000	0.000091
1060.000000	0.000093
1061.000000	0.000096
1062.000000	0.000099
1063.000000	0.000101
1064.000000	0.000103
1065.000000	0.000105
1066.000000	0.000107
1067.000000	0.000108
1068.000000	0.000110
1069.000000	0.000112
1070.000000	0.000114
1071.000000	0.000116
1072.000000	0.000118
1073.000000	0.000121
1074.000000	0.000124
1075.000000	0.000128
1076.000000	0.000131
1077.000000	0.000135
1078.000000	0.000139
1079.000000	0.000142
1080.000000	0.000146
1081.000000	0.000149
1082.000000	0.000151
1083.000000	0.000153
1084.000000	0.000154
1085.000000	0.000155
1086.000000	0.000155
1087.000000	0.000155
1088.000000	0.000154
1089.000000	0.000152
1090.000000	0.000151
1091.000000	0.000149
1092.000000	0.000147
1093.000000	0.000145
1094.000000	0.000143
1095.000000	0.000141
1096.000000	0.000139
1097.000000	0.000137
1098.000000	0.000136
1099.000000	0.000134
1100.000000	0.000132
1101.000000	0.000131
1102.000000	0.000129
1103.000000	0.000128
1104.000000	0.000126
1105.000000	0.000124
1106.000000	0.000123
1107.000000	0.000121
1108.000000	0.000119
1109.000000	0.000117
1110.000000	0.000115
1111.000000	0.000114
1112.000000	0.000112
1113.000000	0.000110
1114.000000	0.000108
1115.000000	0.000107
1116.000000	0.000105
1117.000000	0.000104
1118.000000	0.000102
1119.000000	0.000101
1120.000000	0.000099
1121.000000	0.000098
1122.000000	0.000097
1123.000000	0.000096
1124.000000	0.000094
1125.000000	0.000093
1126.000000	0.000091
1127.000000	0.000089
1128.000000	0.000088
1129.000000	0.000086
1130.000000	0.000085
1131.000000	0.000083
1132.000000	0.000081
1133.000000	0.000079
1134.000000	0.000078
1135.000000	0.000076
1136.000000	0.000074
1137.000000	0.000073
1138.000000	0.000072
1139.000000	0.000070
1140.000000	0.000069
1141.000000	0.000068
1142.000000	0.000067
1143.000000	0.000066
1144.000000	0.000065
1145.000000	0.000064
1146.000000	0.000064
1147.000000	0.000063
1148.000000	0.000063
1149.000000	0.000063
1150.000000	0.000063
1151.000000	0.000063
1152.000000	0.000064
1153.000000	0.000064
1154.000000	0.000065
1155.000000	0.000066
1156.000000	0.000066
1157.000000	0.000067
1158.000000	0.000068
1159.000000	0.000068
1160.000000	0.000068
1161.000000	0.000068
1162.000000	0.000069
1163.000000	0.000068
1164.000000	0.000068
1165.000000	0.000068
1166.000000	0.000068
1167.000000	0.000067
1168.000000	0.000067
1169.000000	0.000066
1170.000000	0.000066
1171.000000	0.000065
1172.000000	0.000065
1173.000000	0.000064
1174.000000	0.000064
1175.000000	0.000064
1176.000000	0.000063
1177.000000	0.000062
1178.000000	0.000062
1179.000000	0.000061
1180.000000	0.000061
1181.000000	0.000060
1182.000000	0.000060
1183.000000	0.000060
1184.000000	0.000059
1185.000000	0.000059
1186.000000	0.000060
1187.000000	0.000060
1188.000000	0.000060
1189.000000	0.000061
1190.000000	0.000062
1191.000000	0.000063
1192.000000	0.000064
1193.000000	0.000066
1194.000000	0.000067
1195.000000	0.000069
1196.000000	0.000071
1197.000000	0.000072
1198.000000	0.000074
1199.000000	0.000075
1200.000000	0.000076
1201.000000	0.000077
1202.000000	0.000078
1203.000000	0.000078
1204.000000	0.000078
1205.000000	0.000077
1206.000000	0.000076
1207.000000	0.000075
1208.000000	0.000074
1209.000000	0.000072
1210.000000	0.000070
1211.000000	0.000068
1212.000000	0.000066
1213.000000	0.000063
1214.000000	0.000060
